year,point,train_rmse,test_rmse
2011,541,0.01017615747684508,0.017610468835358058
2012,205,0.01017615747684508,0.017610468835358058
2013,414,0.01017615747684508,0.017610468835358058
2014,292,0.01017615747684508,0.017610468835358058
2015,651,0.01017615747684508,0.017610468835358058
2016,508,0.01017615747684508,0.017610468835358058
2017,352,0.01017615747684508,0.017610468835358058
2018,294,0.01017615747684508,0.017610468835358058
2019,622,0.01017615747684508,0.017610468835358058
2020,931,0.01017615747684508,0.017610468835358058
2021,164,0.01017615747684508,0.017610468835358058
