year,Start Date,End date,open,close,point
2011,20/6/2011,30/12/2011,1271.5,1257.6,-13.9
2012,3/1/2012,31/12/2012,1258.86,1426.19,167.33
2013,2/1/2013,31/12/2013,1426.19,1848.36,422.17
2014,2/1/2014,31/12/2014,1845.86,2058.9,213.04
2015,2/1/2015,31/12/2015,2058.9,2043.94,-14.96
2016,4/1/2016,30/12/2016,2038.2,2238.83,200.63
2017,3/1/2017,29/12/2017,2251.57,2673.61,422.04
2018,2/1/2018,31/12/2018,2683.73,2506.85,-176.88
2019,2/1/2019,31/12/2019,2476.96,3230.78,753.82
2020,2/1/2020,31/12/2020,3244.67,3756.08,511.41
2021,4/1/2021,25/2/2021,3764.61,3829.35,64.74
